clock,covid19,others,total
1500,0,1,1
1501,0,2,2
1502,0,2,2
1503,0,1,1
1504,0,1,1
1505,0,1,1
1506,0,1,1
1507,0,1,1
1508,0,1,1
1509,0,1,1
1510,0,1,1
1511,1,1,2
1512,1,1,2
1513,1,1,2
1514,0,2,2
1515,0,2,2
1516,0,2,2
1517,0,2,2
1518,0,3,3
1519,0,3,3
1520,0,1,1
1521,0,2,2
1522,0,2,2
1523,0,1,1
1524,0,1,1
1525,0,1,1
1526,0,1,1
1527,0,1,1
1528,0,1,1
1529,0,1,1
1530,0,2,2
1531,0,2,2
1532,0,2,2
1533,0,2,2
1534,0,1,1
1535,0,2,2
1536,0,3,3
1537,0,2,2
1538,0,2,2
1539,0,2,2
1540,0,3,3
1541,0,2,2
1542,0,3,3
1543,0,3,3
1544,0,3,3
1545,0,2,2
1546,0,2,2
1547,0,2,2
1548,0,0,0
1549,0,1,1
1550,0,2,2
1551,0,2,2
1552,1,2,3
1553,0,3,3
1554,0,3,3
1555,0,3,3
1556,0,2,2
1557,0,3,3
1558,0,4,4
1559,0,4,4
1560,0,4,4
1561,0,3,3
1562,0,3,3
1563,0,2,2
1564,0,3,3
1565,0,2,2
1566,0,2,2
1567,0,2,2
1568,0,3,3
1569,0,3,3
1570,0,2,2
1571,0,3,3
1572,0,3,3
1573,0,2,2
1574,0,3,3
1575,0,3,3
1576,0,3,3
1577,0,2,2
1578,0,3,3
1579,0,3,3
1580,0,2,2
1581,0,3,3
1582,0,4,4
1583,0,4,4
1584,0,3,3
1585,0,3,3
1586,0,3,3
1587,0,4,4
1588,0,3,3
1589,0,4,4
1590,0,4,4
1591,0,5,5
1592,0,6,6
1593,0,5,5
1594,0,5,5
1595,0,3,3
1596,0,4,4
1597,0,5,5
1598,0,6,6
1599,0,6,6
1600,0,6,6
1601,0,5,5
1602,0,5,5
1603,0,3,3
1604,1,3,4
1605,1,4,5
1606,0,5,5
1607,0,6,6
1608,0,7,7
1609,0,6,6
1610,0,6,6
1611,0,6,6
1612,0,5,5
1613,0,6,6
1614,0,7,7
1615,0,7,7
1616,0,6,6
1617,0,6,6
1618,0,6,6
1619,0,5,5
1620,0,6,6
1621,0,6,6
1622,0,6,6
1623,0,6,6
1624,0,6,6
1625,0,6,6
1626,0,7,7
1627,0,4,4
1628,0,4,4
1629,0,4,4
1630,0,5,5
1631,0,5,5
1632,0,6,6
1633,0,6,6
1634,0,6,6
1635,0,6,6
1636,0,6,6
1637,0,6,6
1638,0,4,4
1639,0,4,4
1640,0,5,5
1641,0,5,5
1642,0,5,5
1643,0,5,5
1644,0,5,5
1645,0,5,5
1646,0,5,5
1647,1,5,6
1648,0,6,6
1649,0,6,6
1650,0,6,6
1651,0,6,6
1652,0,5,5
1653,0,6,6
1654,0,6,6
1655,0,5,5
1656,1,5,6
1657,0,5,5
1658,0,6,6
